raceId,year,round,circuitId,name,lapDistanceMeters,completeLaps,scheduledLaps
1074,2022,1,3,Bahrain Grand Prix,5412,57,57
1075,2022,2,77,Saudi Arabian Grand Prix,6174,50,50
1076,2022,3,1,Australian Grand Prix,5278,58,58
1077,2022,4,21,Emilia Romagna Grand Prix,4909,63,63
1078,2022,5,79,Miami Grand Prix,5412,57,57
1079,2022,6,4,Spanish Grand Prix,4675,66,66
1080,2022,7,6,Monaco Grand Prix,3337,64,78
1081,2022,8,73,Azerbaijan Grand Prix,6003,51,51
1082,2022,9,7,Canadian Grand Prix,4361,70,70
1083,2022,10,9,British Grand Prix,5891,52,52
1084,2022,11,70,Austrian Grand Prix,4318,71,71
1085,2022,12,34,French Grand Prix,5842,53,53
1086,2022,13,11,Hungarian Grand Prix,4381,70,70
1087,2022,14,13,Belgian Grand Prix,7004,44,44
1088,2022,15,39,Dutch Grand Prix,4259,72,72
1089,2022,16,14,Italian Grand Prix,5793,53,53
1091,2022,17,15,Singapore Grand Prix,5063,59,61
1092,2022,18,22,Japanese Grand Prix,5807,28,53
1093,2022,19,69,United States Grand Prix,5513,56,56
1094,2022,20,32,Mexico City Grand Prix,4304,71,71
1095,2022,21,18,Brazilian Grand Prix,4309,71,71
1096,2022,22,24,Abu Dhabi Grand Prix,5281,58,58
1098,2023,1,3,Bahrain Grand Prix,5412,57,57
1099,2023,2,77,Saudi Arabian Grand Prix,6174,50,50
1100,2023,3,1,Australian Grand Prix,5278,58,58
1101,2023,4,73,Azerbaijan Grand Prix,6003,51,51
1102,2023,5,79,Miami Grand Prix,5412,57,57
1103,2023,6,21,Emilia Romagna Grand Prix,4909,0,63
1104,2023,7,6,Monaco Grand Prix,3337,78,78
1105,2023,8,4,Spanish Grand Prix,4657,66,66
1106,2023,9,7,Canadian Grand Prix,4361,70,70
1107,2023,10,70,Austrian Grand Prix,4318,71,71
1108,2023,11,9,British Grand Prix,5891,52,52
1109,2023,12,11,Hungarian Grand Prix,4381,70,70
1110,2023,13,13,Belgian Grand Prix,7004,44,44
1111,2023,14,39,Dutch Grand Prix,4259,,72
1112,2023,15,14,Italian Grand Prix,5793,,53
1113,2023,16,15,Singapore Grand Prix,,,62
1114,2023,17,22,Japanese Grand Prix,5807,,53
1115,2023,18,78,Qatar Grand Prix,5418,,57
1116,2023,19,69,United States Grand Prix,5513,,56
1117,2023,20,32,Mexico City Grand Prix,4304,,71
1118,2023,21,18,S‹o Paulo Grand Prix,4309,,71
1119,2023,22,80,Las Vegas Grand Prix,6120,,50
1120,2023,23,24,Abu Dhabi Grand Prix,5281,,58